Date,Open*,High,Low,Close**,Volume,Market Cap
"May 05, 2018",91.85,91.85,87.37,87.67,"6,986,510","626,492,291"
"May 04, 2018",84.01,113.33,82.18,91.73,"61,502,000","655,461,133"
"May 03, 2018",81.57,84.31,78.82,83.87,"3,696,320","599,335,610"
"May 02, 2018",81.36,82.26,78.62,81.47,"2,131,860","582,199,404"
"May 01, 2018",84.13,84.13,77.85,81.61,"2,956,840","583,169,796"
"Apr 30, 2018",83.69,84.35,80.01,83.5,"4,741,180","596,673,106"
"Apr 29, 2018",86.93,89.04,81.75,83.58,"2,638,380","597,276,921"
"Apr 28, 2018",83.37,87.73,83.1,86.96,"5,135,870","621,358,789"
"Apr 27, 2018",85.38,90.01,82.38,83.6,"4,237,940","597,389,109"
"Apr 26, 2018",77.89,85.03,75.09,85.03,"5,407,210","607,618,955"
"Apr 25, 2018",75.26,139.94,73.04,77.51,"26,848,000","553,891,543"
"Apr 24, 2018",65.8,77.74,65.78,75.77,"6,362,940","541,454,378"
"Apr 23, 2018",64.33,66.95,64,65.73,"10,263,300","469,710,404"
"Apr 22, 2018",67.35,67.35,64.08,64.47,"13,385,700","460,718,916"
"Apr 21, 2018",66.43,67.98,65.04,67.35,"14,653,500","481,281,506"
"Apr 20, 2018",62.24,66.91,61.95,66.39,"14,092,000","474,433,026"
"Apr 19, 2018",61.75,62.97,60.7,62.24,"13,014,000","444,730,316"
"Apr 18, 2018",60.39,63.01,60.04,61.68,"12,341,300","440,749,423"
"Apr 17, 2018",61.91,63.05,60.45,60.55,"12,471,900","432,683,308"
"Apr 16, 2018",63.71,64.4,61.09,62.35,"10,294,400","445,206,017"
"Apr 15, 2018",59.35,66.24,59.35,63.73,"13,668,600","454,662,067"
"Apr 14, 2018",58.2,60.33,57.47,59.37,"17,957,400","423,232,047"
"Apr 13, 2018",61.11,62.1,57.25,57.97,"20,624,700","412,917,848"
"Apr 12, 2018",52,61.41,51.62,61.15,"22,746,200","435,152,393"
"Apr 11, 2018",50.9,53.43,50.64,52.36,"19,628,500","372,272,676"
"Apr 10, 2018",48.37,51.19,47.4,51.01,"18,426,200","362,302,132"
"Apr 09, 2018",49.77,52.61,47.28,48.06,"8,009,390","341,116,417"
"Apr 08, 2018",50.02,51.32,49.34,49.79,"436,551","353,055,443"
"Apr 07, 2018",43.97,50.64,43.82,49.95,"1,273,600","353,860,979"
"Apr 06, 2018",43.44,45.35,42.09,43.86,"584,717","310,409,067"
"Apr 05, 2018",42.3,44.05,40.66,43.66,"494,135","308,832,078"
"Apr 04, 2018",47.09,47.17,41.6,42.35,"505,313","299,236,689"
"Apr 03, 2018",41.79,47.15,41.45,46.98,"746,749","331,672,228"
"Apr 02, 2018",39.52,41.92,39.26,41.76,"850,657","294,532,447"
"Apr 01, 2018",39.79,40.41,37.25,39.32,"301,190","277,115,390"
"Mar 31, 2018",38.83,41.29,38.83,39.74,"297,747","279,805,137"
"Mar 30, 2018",40.46,41.11,37.44,38.81,"521,679","273,059,577"
"Mar 29, 2018",46.84,47.03,39.28,40.37,"778,691","283,720,146"
"Mar 28, 2018",45.94,47.68,45.73,46.79,"387,453","328,578,243"
"Mar 27, 2018",48.13,48.79,45.72,45.94,"303,660","322,374,759"
"Mar 26, 2018",50.55,51.22,46.33,48.24,"607,113","338,162,701"
"Mar 25, 2018",50.9,53.74,50.35,50.56,"437,620","354,102,341"
"Mar 24, 2018",53.72,55.47,51.18,51.61,"483,691","361,112,893"
"Mar 23, 2018",50.64,52.76,48.86,52.76,"579,637","368,887,912"
"Mar 22, 2018",51.91,54.08,49.38,50.67,"418,405","353,960,828"
"Mar 21, 2018",52.64,54.64,51.3,51.8,"453,314","361,542,905"
"Mar 20, 2018",52.95,54.5,50.22,52.56,"465,414","366,518,357"
"Mar 19, 2018",50.19,53.64,49.24,52.37,"514,038","364,841,122"
"Mar 18, 2018",48.41,51.82,44.22,50.7,"705,667","352,920,303"
"Mar 17, 2018",54.35,54.82,48.16,48.48,"434,109","337,167,983"
"Mar 16, 2018",55.91,56.2,53.77,54.25,"613,356","376,955,116"
"Mar 15, 2018",52.31,56.11,46.35,54.83,"1,949,070","380,596,204"
"Mar 14, 2018",59.59,61.57,51.1,52.18,"529,811","361,864,849"
"Mar 13, 2018",59.98,62.23,57.89,59.59,"503,090","412,916,314"
"Mar 12, 2018",63.49,66.14,56.75,59.78,"554,842","413,819,079"
"Mar 11, 2018",60.69,65.36,58.33,63.61,"770,623","439,905,710"
"Mar 10, 2018",61.41,65.31,60.37,60.9,"616,342","420,762,293"
"Mar 09, 2018",58.4,61.64,52.22,61.12,"1,061,970","421,862,998"
"Mar 08, 2018",66.44,68.23,58.47,58.67,"976,633","404,598,339"
"Mar 07, 2018",72.81,76.07,59.95,66.78,"1,668,380","460,086,337"
"Mar 06, 2018",81.8,81.8,71.18,72.9,"907,286","501,816,946"
"Mar 05, 2018",80.79,83.64,79.24,82.38,"1,433,830","566,565,607"
"Mar 04, 2018",80.26,82.2,77.89,80.63,"1,230,430","554,039,762"
"Mar 03, 2018",80.61,83.02,79.6,80.68,"1,137,500","553,844,933"
"Mar 02, 2018",78.9,83.75,77.61,80.65,"1,502,120","553,167,969"
"Mar 01, 2018",74.57,80.79,73.81,79.54,"1,298,860","545,056,733"
"Feb 28, 2018",77.82,81.18,72.86,74.41,"2,436,670","509,458,655"
"Feb 27, 2018",75.44,79.23,74.63,77.91,"699,347","532,925,657"
"Feb 26, 2018",72.08,76.68,70.22,75.54,"904,745","516,193,427"
"Feb 25, 2018",71.74,82.91,69.47,72.04,"2,970,440","491,826,025"
"Feb 24, 2018",76,78.28,69.33,71.84,"744,244","490,049,182"
"Feb 23, 2018",72.34,78.75,70.04,76.1,"723,820","518,612,602"
"Feb 22, 2018",74.76,78.87,70.78,72.36,"809,800","492,667,786"
"Feb 21, 2018",80.49,82.99,74.29,75.55,"1,335,400","513,871,368"
"Feb 20, 2018",88.29,90.76,77.52,80.92,"1,869,820","549,901,543"
"Feb 19, 2018",84.57,93.31,84.46,88.21,"1,142,280","598,878,388"
"Feb 18, 2018",96.9,97.23,84.94,84.94,"1,290,070","576,136,003"
"Feb 17, 2018",90.01,98.06,88.96,96.26,"1,790,480","652,290,109"
"Feb 16, 2018",87.12,90.69,83.61,90.42,"992,508","612,134,171"
"Feb 15, 2018",81.32,90.23,80.66,87.52,"1,264,440","592,003,043"
"Feb 14, 2018",73.04,81.28,72.49,81.28,"888,925","549,295,773"
"Feb 13, 2018",77.65,77.96,71.74,73.25,"930,951","494,484,691"
"Feb 12, 2018",69.17,79.54,69.17,77.35,"927,667","521,675,451"
"Feb 11, 2018",76.89,76.89,68.9,69.02,"633,865","465,120,309"
"Feb 10, 2018",80.52,83.58,71.63,76.97,"1,344,870","518,209,674"
"Feb 09, 2018",73.55,82.02,70.52,81.49,"1,841,070","548,004,732"
"Feb 08, 2018",68.01,79.15,68.01,72.51,"998,346","487,224,977"
"Feb 07, 2018",71.98,78.74,64.24,68.51,"1,017,250","459,930,533"
"Feb 06, 2018",59.04,74.39,47.55,72.74,"2,456,810","487,804,814"
"Feb 05, 2018",73.08,74.84,56.75,58.98,"1,315,890","395,134,072"
"Feb 04, 2018",88.8,90.36,70.7,73.89,"1,309,740","494,587,857"
"Feb 03, 2018",79.96,90.42,74.06,88.91,"1,370,310","594,554,275"
"Feb 02, 2018",83.58,85.79,66.95,80.29,"3,148,590","536,367,814"
"Feb 01, 2018",97.83,99.05,78.81,83.38,"2,265,020","556,493,902"
"Jan 31, 2018",89.9,100.39,88.22,97.83,"4,526,180","652,283,675"
"Jan 30, 2018",98.17,102.88,88.6,89.28,"7,570,670","594,651,408"
"Jan 29, 2018",93.15,98.73,88.1,98.73,"4,818,180","656,956,028"
"Jan 28, 2018",92.44,96.19,90.87,93.24,"1,520,330","619,888,537"
"Jan 27, 2018",90.83,94.92,87.86,92.12,"1,407,310","611,877,053"
"Jan 26, 2018",91.25,97.29,83.07,90.34,"2,048,920","599,337,423"
"Jan 25, 2018",96.7,98.92,90.13,91.05,"1,075,030","603,526,607"
"Jan 24, 2018",91.79,98.28,89.25,94.57,"946,761","626,253,034"
"Jan 23, 2018",90.58,96.22,81.53,92.37,"1,098,310","611,051,123"
"Jan 22, 2018",102.11,107.48,85.09,90.54,"1,532,190","598,374,012"
"Jan 21, 2018",118.59,118.59,97.09,101.13,"1,261,630","667,758,672"
"Jan 20, 2018",104.97,119.8,104.97,118.83,"2,699,830","783,887,507"
"Jan 19, 2018",82.63,112.01,81.37,103.85,"10,034,400","684,331,214"
"Jan 18, 2018",85.59,95.22,80.56,83.76,"3,014,690","551,443,650"
"Jan 17, 2018",83.13,87.52,65.98,86.12,"2,774,880","566,367,312"
"Jan 16, 2018",104.95,105.95,73.48,83.13,"5,137,380","546,166,105"
