"Date","Open.","High","Low","Close..","Volume","Market.Cap","project","daychange","daychange_per","date"
"Jul 03, 2018",0.486259,0.515696,0.480843,0.485223,"410,225,984","19,050,872,652","Ripple",0.00103599999999998,0.213055182526181,2018-07-03
"Jul 02, 2018",0.461606,0.488924,0.453839,0.486122,"335,919,008","19,086,169,278","Ripple",-0.024516,-5.31102282032729,2018-07-02
"Jul 01, 2018",0.465944,0.46628,0.450816,0.461358,"267,224,992","18,113,882,700","Ripple",0.00458600000000003,0.984238449255712,2018-07-01
"Jun 30, 2018",0.454112,0.480147,0.454112,0.466245,"345,528,992","18,305,756,569","Ripple",-0.012133,-2.67180783595237,2018-06-30
"Jun 29, 2018",0.448354,0.45834,0.427302,0.45308,"309,777,984","17,788,871,058","Ripple",-0.00472600000000001,-1.05407780459191,2018-06-29
"Jun 28, 2018",0.47033,0.471683,0.44575,0.448458,"220,566,000","17,607,401,644","Ripple",0.021872,4.65035188059448,2018-06-28
"Jun 27, 2018",0.455551,0.472758,0.45196,0.47037,"215,618,000","18,467,712,721","Ripple",-0.014819,-3.25298374934969,2018-06-27
"Jun 26, 2018",0.482381,0.482872,0.456001,0.456001,"179,426,000","17,903,549,770","Ripple",0.02638,5.46870627159859,2018-06-26
"Jun 25, 2018",0.477106,0.49111,0.47556,0.481753,"231,728,992","18,914,626,969","Ripple",-0.00464700000000001,-0.973997392612965,2018-06-25
"Jun 24, 2018",0.491773,0.493725,0.450048,0.47738,"369,520,000","18,734,923,547","Ripple",0.014393,2.92675685733051,2018-06-24
"Jun 23, 2018",0.487309,0.496713,0.480874,0.491284,"204,927,008","19,280,590,263","Ripple",-0.00397500000000001,-0.815704204108688,2018-06-23
"Jun 22, 2018",0.535091,0.535091,0.477286,0.486947,"339,428,992","19,110,383,377","Ripple",0.048144,8.99734811461975,2018-06-22
"Jun 21, 2018",0.539228,0.547007,0.530697,0.534775,"194,312,000","20,987,407,809","Ripple",0.00445300000000004,0.825810232406336,2018-06-21
